                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8805,                 1.8511,                 1.7969,                0.56958,                0.32308,                0.33504,                0.14156,                 2.5985,                  2.561,                  2.601,             0.00066055,             0.00066055,             0.00066055
                      2,                 1.8681,                  1.641,                 1.8404,                0.50263,                0.46154,                0.42344,                0.17894,                 2.3885,                 2.9464,                 2.4731,              0.0013206,              0.0013206,              0.0013206
                      3,                 1.8788,                 1.7181,                 1.8806,                0.50908,                    0.4,                 0.3652,                0.17156,                 2.0376,                 3.4805,                 2.1949,              0.0019741,              0.0019741,              0.0019741
                      4,                 1.8827,                 1.7001,                  1.902,                0.54513,                0.47692,                0.54274,                 0.2791,                 1.8407,                 2.2425,                 1.9365,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.8079,                  1.601,                 1.8317,                0.71514,                0.65664,                 0.7413,                0.31971,                 1.7672,                 1.6983,                  1.845,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.7804,                 1.5438,                 1.8207,                0.71113,                0.52308,                0.63712,                0.33034,                 1.7747,                 1.7399,                 2.0264,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.7871,                 1.4951,                 1.8023,                0.74587,                0.67692,                0.77673,                0.39896,                 1.6943,                 1.5135,                 1.7926,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.7422,                 1.5108,                 1.7784,                0.83919,                0.73846,                0.84008,                0.46223,                 1.6483,                  1.182,                 1.7211,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.6994,                 1.4083,                 1.7434,                0.75823,                0.78462,                0.79421,                0.31955,                 1.9129,                 1.6304,                 1.9127,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.7062,                 1.3999,                 1.7484,                0.94118,                0.75385,                 0.8593,                0.46699,                 1.5634,                 1.2515,                 1.7305,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.6902,                 1.3817,                 1.7453,                0.89264,                0.76923,                 0.9085,                0.43949,                 1.7155,                  1.166,                 1.7763,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.6824,                 1.3465,                 1.7269,                0.94528,                0.67692,                0.82306,                0.41623,                 1.7599,                 1.2518,                 1.7917,               0.001901,               0.001901,               0.001901
                     13,                 1.6591,                 1.3404,                 1.7058,                0.91262,                0.78462,                0.89066,                0.47388,                 1.6147,                 1.0561,                 1.7113,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.6452,                  1.312,                 1.6968,                0.88809,                0.75385,                0.85213,                0.49726,                 1.5027,                 1.2038,                 1.7078,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.6348,                 1.2656,                 1.6918,                0.87826,                0.77701,                0.84149,                0.45445,                  1.677,                 1.0578,                 1.7277,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.6279,                 1.2626,                 1.6949,                  0.946,                0.80854,                0.92755,                0.56891,                 1.4339,                0.86733,                   1.62,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.6089,                 1.2337,                 1.6805,                0.96044,                0.89231,                0.95742,                0.56499,                 1.3819,                0.83243,                 1.5113,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.5913,                    1.2,                 1.6472,                0.94773,                0.83077,                0.95197,                   0.57,                 1.4458,                 0.9055,                 1.5922,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.5647,                 1.1943,                 1.6478,                0.89521,                0.92008,                0.93647,                 0.5391,                 1.5716,                0.82498,                 1.7067,              0.0018317,              0.0018317,              0.0018317
                     20,                  1.574,                 1.1666,                   1.65,                0.90585,                0.83077,                0.90064,                0.51587,                  1.572,                0.88331,                 1.6478,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.5823,                 1.1823,                  1.664,                0.92084,                0.89487,                0.96647,                0.57471,                 1.4467,                0.88443,                 1.6337,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.5532,                 1.1405,                 1.6294,                0.87165,                0.83588,                0.91981,                0.51888,                 1.5265,                 1.0115,                 1.6227,               0.001802,               0.001802,               0.001802
                     23,                 1.5582,                 1.1212,                 1.6313,                0.95049,                0.88607,                0.92785,                0.56736,                 1.3895,                0.85203,                 1.5626,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.5548,                 1.1092,                 1.6365,                0.90912,                0.83077,                0.92052,                0.55888,                 1.4239,                0.87613,                 1.5575,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.5348,                 1.0993,                 1.6268,                0.88937,                0.86583,                0.93968,                0.58671,                 1.3019,                0.85504,                  1.501,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.5338,                 1.0807,                 1.6152,                0.89774,                0.81046,                0.89322,                0.52872,                   1.58,                0.90408,                 1.6718,              0.0017624,              0.0017624,              0.0017624
                     27,                 1.5123,                 1.0507,                 1.5971,                0.92259,                 0.9169,                0.95706,                0.58735,                  1.301,                0.73913,                 1.4582,              0.0017525,              0.0017525,              0.0017525
                     28,                    1.5,                 1.0583,                 1.5944,                0.92344,                0.92783,                0.97596,                0.51721,                 1.5832,                0.79847,                 1.6816,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.5129,                 1.0563,                 1.6009,                0.95423,                0.96225,                0.98129,                0.60051,                 1.2748,                0.72549,                 1.4636,              0.0017327,              0.0017327,              0.0017327
                     30,                 1.4769,                 1.0139,                 1.5669,                0.96418,                0.82832,                0.91181,                 0.5032,                 1.5734,                0.95137,                 1.6091,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.4774,                 1.0196,                 1.5691,                 0.8993,                0.96177,                0.96765,                0.63763,                 1.2834,                0.70977,                 1.4768,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.4649,                0.99426,                 1.5645,                0.97145,                0.87692,                0.96896,                 0.6128,                 1.2971,                0.68948,                 1.4771,               0.001703,               0.001703,               0.001703
                     33,                 1.4543,                0.96748,                  1.552,                0.96683,                 0.8969,                0.96597,                0.53166,                 1.5348,                0.75761,                 1.5942,              0.0016931,              0.0016931,              0.0016931
                     34,                  1.464,                0.97989,                 1.5597,                0.96699,                0.90153,                0.96573,                0.59369,                 1.3503,                0.73328,                 1.5146,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.4646,                0.97869,                 1.5587,                0.94945,                0.93846,                0.96194,                0.60748,                 1.3644,                0.63923,                 1.5554,              0.0016733,              0.0016733,              0.0016733
                     36,                 1.4403,                 0.9689,                 1.5413,                 0.9634,                0.92308,                0.97469,                0.59123,                 1.4408,                0.69615,                 1.5509,              0.0016634,              0.0016634,              0.0016634
                     37,                 1.4273,                0.95153,                 1.5316,                0.94422,                0.84615,                0.91012,                0.57491,                 1.3675,                0.70419,                 1.5429,              0.0016535,              0.0016535,              0.0016535
